DayOfWeek,Department,TimeOfDay,PatientInflow
Tuesday,Oncology,Evening,23
Friday,Pediatrics,Evening,16
Friday,Pediatrics,Evening,22
Thursday,Emergency,Morning,12
Saturday,Pediatrics,Night,5
Friday,Cardiology,Afternoon,28
Monday,Neurology,Morning,18
Tuesday,Emergency,Morning,18
Tuesday,Cardiology,Night,15
Tuesday,Emergency,Morning,21
Monday,Pediatrics,Afternoon,17
Wednesday,Pediatrics,Morning,23
Saturday,Cardiology,Evening,18
Wednesday,Cardiology,Afternoon,11
Thursday,Neurology,Afternoon,7
Wednesday,Cardiology,Night,16
Monday,Oncology,Night,10
Thursday,Neurology,Afternoon,11
Tuesday,Oncology,Evening,29
Friday,Emergency,Night,10
Saturday,Neurology,Afternoon,21
Tuesday,Neurology,Night,29
Sunday,Neurology,Morning,26
Friday,Oncology,Morning,6
Sunday,Neurology,Afternoon,26
Friday,Oncology,Afternoon,5
Sunday,Neurology,Afternoon,22
Tuesday,Cardiology,Night,15
Saturday,Oncology,Morning,6
Saturday,Oncology,Morning,19
Monday,Oncology,Morning,13
Tuesday,Oncology,Morning,29
Monday,Oncology,Evening,19
Wednesday,Emergency,Evening,18
Sunday,Emergency,Evening,25
Wednesday,Pediatrics,Morning,23
Tuesday,Cardiology,Afternoon,22
Monday,Cardiology,Morning,10
Saturday,Oncology,Afternoon,13
Tuesday,Emergency,Night,23
Saturday,Neurology,Evening,26
Monday,Pediatrics,Night,12
Monday,Pediatrics,Evening,5
Tuesday,Neurology,Night,10
Saturday,Emergency,Morning,26
Monday,Oncology,Night,12
Saturday,Neurology,Evening,12
Monday,Oncology,Morning,11
Thursday,Cardiology,Afternoon,22
Thursday,Neurology,Night,28
Sunday,Pediatrics,Evening,26
Sunday,Neurology,Evening,24
Saturday,Cardiology,Afternoon,9
Friday,Emergency,Morning,13
Monday,Oncology,Night,14
Saturday,Neurology,Afternoon,22
Saturday,Pediatrics,Evening,6
Friday,Neurology,Afternoon,16
Wednesday,Emergency,Afternoon,10
Saturday,Oncology,Night,22
Monday,Cardiology,Night,25
Wednesday,Neurology,Afternoon,20
Saturday,Cardiology,Afternoon,5
Thursday,Pediatrics,Evening,28
Wednesday,Oncology,Evening,15
Wednesday,Emergency,Morning,15
Tuesday,Oncology,Morning,19
Monday,Pediatrics,Evening,26
Monday,Cardiology,Night,10
Friday,Neurology,Night,11
Sunday,Cardiology,Morning,21
Wednesday,Cardiology,Night,9
Sunday,Pediatrics,Night,10
Saturday,Pediatrics,Evening,14
Saturday,Emergency,Evening,27
Thursday,Emergency,Evening,14
Thursday,Pediatrics,Night,19
Saturday,Oncology,Morning,10
Wednesday,Cardiology,Night,23
Tuesday,Neurology,Morning,25
Saturday,Neurology,Morning,11
Wednesday,Neurology,Morning,21
Wednesday,Pediatrics,Morning,25
Thursday,Emergency,Night,8
Wednesday,Cardiology,Evening,20
Friday,Oncology,Morning,24
Thursday,Pediatrics,Night,29
Saturday,Pediatrics,Night,21
Thursday,Pediatrics,Morning,17
Tuesday,Neurology,Morning,6
Wednesday,Emergency,Night,25
Thursday,Oncology,Afternoon,8
Wednesday,Oncology,Night,24
Monday,Pediatrics,Evening,7
Tuesday,Pediatrics,Night,17
Sunday,Neurology,Evening,23
Thursday,Oncology,Night,6
Friday,Cardiology,Night,29
Tuesday,Emergency,Morning,17
Wednesday,Neurology,Night,13
Tuesday,Emergency,Night,27
Monday,Emergency,Evening,20
Tuesday,Emergency,Afternoon,21
Thursday,Pediatrics,Night,14
Monday,Emergency,Evening,13
Wednesday,Pediatrics,Afternoon,29
Monday,Pediatrics,Night,11
Sunday,Emergency,Morning,27
Friday,Pediatrics,Night,8
Tuesday,Neurology,Morning,15
Wednesday,Oncology,Afternoon,14
Thursday,Oncology,Afternoon,24
Friday,Pediatrics,Morning,29
Tuesday,Cardiology,Afternoon,20
Saturday,Pediatrics,Afternoon,9
Thursday,Pediatrics,Night,7
Friday,Emergency,Afternoon,19
Tuesday,Emergency,Evening,12
Thursday,Emergency,Evening,12
Wednesday,Neurology,Afternoon,7
Saturday,Cardiology,Afternoon,21
Tuesday,Oncology,Afternoon,13
Thursday,Cardiology,Evening,28
Friday,Pediatrics,Afternoon,16
Wednesday,Pediatrics,Evening,18
Friday,Emergency,Morning,7
Sunday,Cardiology,Evening,12
Wednesday,Pediatrics,Morning,6
Saturday,Oncology,Morning,26
Saturday,Cardiology,Morning,15
Saturday,Neurology,Afternoon,16
Thursday,Emergency,Night,12
Tuesday,Cardiology,Evening,13
Thursday,Neurology,Morning,6
Friday,Cardiology,Night,6
Monday,Neurology,Evening,14
Thursday,Emergency,Night,15
Wednesday,Pediatrics,Morning,7
Saturday,Oncology,Evening,15
Sunday,Emergency,Afternoon,29
Friday,Oncology,Evening,27
Thursday,Emergency,Morning,19
Saturday,Oncology,Afternoon,16
Saturday,Pediatrics,Evening,6
Saturday,Oncology,Afternoon,17
Friday,Neurology,Evening,9
Wednesday,Cardiology,Night,26
Saturday,Cardiology,Night,22
Saturday,Pediatrics,Afternoon,20
Wednesday,Cardiology,Evening,27
Wednesday,Oncology,Night,29
Sunday,Neurology,Afternoon,6
Tuesday,Cardiology,Evening,25
Saturday,Pediatrics,Afternoon,28
Thursday,Emergency,Morning,7
Tuesday,Pediatrics,Afternoon,11
Wednesday,Cardiology,Afternoon,11
Saturday,Pediatrics,Morning,20
Monday,Pediatrics,Morning,15
Saturday,Emergency,Afternoon,12
Sunday,Neurology,Afternoon,25
Thursday,Cardiology,Afternoon,8
Thursday,Oncology,Evening,15
Friday,Cardiology,Night,9
Sunday,Emergency,Afternoon,28
Tuesday,Neurology,Afternoon,5
Monday,Oncology,Afternoon,9
Tuesday,Emergency,Morning,27
Sunday,Oncology,Evening,23
Saturday,Pediatrics,Night,9
Saturday,Neurology,Night,14
Sunday,Pediatrics,Afternoon,14
Sunday,Oncology,Morning,16
Tuesday,Pediatrics,Evening,17
Wednesday,Cardiology,Afternoon,11
Thursday,Emergency,Evening,20
Saturday,Pediatrics,Morning,5
Tuesday,Pediatrics,Afternoon,19
Monday,Neurology,Evening,27
Thursday,Neurology,Night,28
Thursday,Pediatrics,Afternoon,5
Tuesday,Pediatrics,Evening,26
Tuesday,Neurology,Evening,16
Sunday,Cardiology,Afternoon,14
Monday,Neurology,Afternoon,23
Monday,Emergency,Afternoon,10
Thursday,Pediatrics,Night,18
Friday,Oncology,Night,8
Thursday,Emergency,Evening,9
Saturday,Neurology,Afternoon,13
Friday,Emergency,Night,23
Monday,Cardiology,Night,21
Sunday,Pediatrics,Afternoon,17
Wednesday,Emergency,Morning,13
Tuesday,Pediatrics,Afternoon,12
Tuesday,Neurology,Morning,18
Tuesday,Oncology,Night,25
Sunday,Oncology,Evening,26
Friday,Emergency,Evening,12
Friday,Oncology,Night,15
Thursday,Emergency,Night,16
Monday,Oncology,Evening,23
Wednesday,Neurology,Afternoon,25
Sunday,Cardiology,Afternoon,7
Sunday,Neurology,Afternoon,14
Sunday,Emergency,Morning,7
Friday,Neurology,Night,11
Thursday,Pediatrics,Afternoon,12
Thursday,Pediatrics,Afternoon,5
Monday,Neurology,Afternoon,11
Sunday,Emergency,Afternoon,10
Thursday,Emergency,Afternoon,17
Wednesday,Oncology,Evening,9
Monday,Oncology,Morning,26
Saturday,Cardiology,Evening,22
Tuesday,Oncology,Morning,28
Wednesday,Pediatrics,Morning,18
Sunday,Pediatrics,Evening,10
Tuesday,Emergency,Morning,29
Wednesday,Oncology,Night,25
Tuesday,Oncology,Morning,10
Thursday,Cardiology,Morning,7
Friday,Neurology,Afternoon,15
Friday,Oncology,Morning,12
Wednesday,Oncology,Evening,11
Tuesday,Cardiology,Afternoon,29
Wednesday,Neurology,Morning,9
Sunday,Neurology,Evening,11
Thursday,Oncology,Evening,15
Friday,Oncology,Night,7
Tuesday,Emergency,Afternoon,23
Tuesday,Oncology,Afternoon,5
Sunday,Cardiology,Morning,20
Thursday,Emergency,Night,19
Friday,Oncology,Afternoon,6
Saturday,Emergency,Morning,17
Tuesday,Cardiology,Morning,24
Sunday,Oncology,Morning,18
Friday,Emergency,Evening,8
Saturday,Emergency,Morning,16
Monday,Oncology,Evening,19
Sunday,Pediatrics,Night,27
Wednesday,Cardiology,Evening,15
Thursday,Cardiology,Night,24
Tuesday,Pediatrics,Night,23
Monday,Emergency,Afternoon,21
Saturday,Neurology,Morning,10
Tuesday,Cardiology,Night,16
Monday,Pediatrics,Evening,26
Sunday,Emergency,Morning,8
Monday,Oncology,Evening,24
Friday,Neurology,Afternoon,12
Thursday,Pediatrics,Night,17
Tuesday,Oncology,Night,12
Wednesday,Oncology,Evening,29
Thursday,Oncology,Afternoon,7
Wednesday,Neurology,Afternoon,14
Tuesday,Pediatrics,Night,18
Tuesday,Neurology,Night,14
Wednesday,Pediatrics,Night,20
Tuesday,Pediatrics,Afternoon,29
Monday,Emergency,Evening,29
Monday,Cardiology,Morning,29
Tuesday,Cardiology,Afternoon,11
Friday,Pediatrics,Afternoon,14
Tuesday,Neurology,Morning,19
Sunday,Emergency,Evening,14
Tuesday,Oncology,Night,8
Wednesday,Oncology,Morning,9
Saturday,Neurology,Night,26
Saturday,Oncology,Night,21
Monday,Oncology,Evening,25
Friday,Emergency,Morning,15
Monday,Emergency,Evening,19
Friday,Pediatrics,Morning,15
Saturday,Pediatrics,Afternoon,5
Thursday,Cardiology,Morning,9
Thursday,Neurology,Night,6
Friday,Oncology,Afternoon,24
Saturday,Oncology,Night,22
Tuesday,Neurology,Afternoon,18
Sunday,Oncology,Evening,13
Saturday,Neurology,Night,29
Monday,Oncology,Night,18
Wednesday,Neurology,Morning,22
Thursday,Emergency,Afternoon,21
Sunday,Neurology,Afternoon,12
Wednesday,Oncology,Night,17
Tuesday,Oncology,Morning,9
Friday,Emergency,Morning,13
Wednesday,Pediatrics,Night,23
Tuesday,Cardiology,Evening,19
Tuesday,Neurology,Afternoon,29
Wednesday,Oncology,Night,22
Monday,Cardiology,Night,10
Thursday,Neurology,Afternoon,11
Thursday,Neurology,Evening,28
Tuesday,Cardiology,Afternoon,13
Thursday,Oncology,Afternoon,18
Sunday,Neurology,Evening,25
Tuesday,Emergency,Evening,12
Monday,Pediatrics,Evening,21
Friday,Emergency,Afternoon,16
Friday,Emergency,Afternoon,25
Friday,Oncology,Morning,18
Saturday,Emergency,Night,6
Monday,Oncology,Morning,10
Sunday,Pediatrics,Night,8
Friday,Cardiology,Afternoon,21
Friday,Emergency,Evening,19
Wednesday,Cardiology,Night,5
Monday,Neurology,Afternoon,25
Friday,Neurology,Evening,16
Wednesday,Oncology,Afternoon,17
Friday,Emergency,Morning,6
Tuesday,Cardiology,Night,5
Saturday,Emergency,Night,20
Friday,Emergency,Afternoon,18
Saturday,Oncology,Night,20
Wednesday,Neurology,Morning,21
Tuesday,Pediatrics,Morning,15
Monday,Cardiology,Morning,7
Monday,Pediatrics,Morning,21
Monday,Oncology,Evening,25
Friday,Emergency,Evening,10
Wednesday,Emergency,Evening,17
Monday,Oncology,Evening,10
Wednesday,Neurology,Night,15
Sunday,Oncology,Afternoon,6
Monday,Cardiology,Evening,11
Saturday,Cardiology,Night,23
Thursday,Pediatrics,Afternoon,7
Tuesday,Neurology,Night,19
Saturday,Neurology,Afternoon,14
Friday,Oncology,Evening,17
Tuesday,Cardiology,Evening,5
Sunday,Neurology,Night,20
Tuesday,Cardiology,Evening,11
Thursday,Oncology,Night,15
Wednesday,Oncology,Evening,13
Tuesday,Cardiology,Morning,12
Thursday,Cardiology,Afternoon,16
Wednesday,Emergency,Evening,12
Saturday,Pediatrics,Morning,22
Saturday,Neurology,Afternoon,19
Thursday,Oncology,Night,13
Wednesday,Oncology,Night,25
Thursday,Neurology,Afternoon,21
Tuesday,Pediatrics,Evening,14
Tuesday,Pediatrics,Evening,26
Thursday,Pediatrics,Morning,22
Tuesday,Neurology,Afternoon,15
Thursday,Cardiology,Morning,17
Thursday,Emergency,Morning,20
Friday,Emergency,Morning,6
Monday,Cardiology,Night,29
Tuesday,Oncology,Evening,18
Thursday,Emergency,Evening,14
Saturday,Emergency,Morning,22
Monday,Cardiology,Night,17
Thursday,Pediatrics,Afternoon,28
Sunday,Cardiology,Evening,15
Saturday,Neurology,Evening,13
Tuesday,Oncology,Morning,26
Sunday,Pediatrics,Night,17
Sunday,Oncology,Night,24
Sunday,Oncology,Evening,21
Thursday,Cardiology,Morning,11
Saturday,Cardiology,Night,17
Wednesday,Neurology,Morning,15
Wednesday,Cardiology,Night,27
Friday,Emergency,Evening,13
Sunday,Neurology,Evening,24
Tuesday,Oncology,Night,21
Tuesday,Oncology,Night,29
Monday,Neurology,Afternoon,11
Thursday,Pediatrics,Morning,10
Tuesday,Pediatrics,Night,21
Tuesday,Neurology,Night,10
Monday,Cardiology,Afternoon,7
Sunday,Neurology,Night,17
Wednesday,Cardiology,Night,23
Tuesday,Cardiology,Evening,25
Monday,Pediatrics,Night,15
Wednesday,Pediatrics,Evening,23
Tuesday,Cardiology,Evening,6
Sunday,Neurology,Afternoon,15
Saturday,Neurology,Evening,15
Wednesday,Emergency,Morning,15
Sunday,Pediatrics,Night,20
Tuesday,Neurology,Morning,27
Sunday,Oncology,Morning,22
Saturday,Neurology,Night,21
Friday,Neurology,Evening,29
Sunday,Emergency,Afternoon,17
Thursday,Emergency,Morning,9
Monday,Oncology,Afternoon,11
Tuesday,Pediatrics,Night,18
Sunday,Cardiology,Evening,28
Thursday,Oncology,Afternoon,23
Sunday,Emergency,Evening,22
Sunday,Cardiology,Morning,17
Friday,Pediatrics,Afternoon,15
Sunday,Oncology,Afternoon,24
Sunday,Cardiology,Night,23
Saturday,Pediatrics,Evening,7
Sunday,Cardiology,Morning,19
Wednesday,Cardiology,Evening,19
Friday,Oncology,Night,17
Thursday,Cardiology,Evening,7
Monday,Emergency,Night,6
Thursday,Cardiology,Evening,12
Wednesday,Oncology,Afternoon,22
Thursday,Neurology,Morning,7
Friday,Oncology,Morning,29
Thursday,Neurology,Evening,18
Thursday,Oncology,Morning,6
Thursday,Emergency,Evening,9
Sunday,Pediatrics,Night,10
Sunday,Oncology,Night,9
Sunday,Pediatrics,Evening,14
Thursday,Emergency,Morning,28
Wednesday,Pediatrics,Night,12
Sunday,Oncology,Night,27
Thursday,Pediatrics,Afternoon,8
Monday,Cardiology,Afternoon,22
Saturday,Cardiology,Night,7
Sunday,Oncology,Afternoon,15
Sunday,Emergency,Night,29
Wednesday,Emergency,Evening,20
Wednesday,Neurology,Evening,9
Thursday,Oncology,Night,13
Friday,Pediatrics,Evening,14
Sunday,Emergency,Evening,16
Saturday,Oncology,Afternoon,21
Thursday,Cardiology,Evening,23
Saturday,Oncology,Morning,27
Sunday,Emergency,Afternoon,14
Sunday,Emergency,Afternoon,8
Wednesday,Neurology,Morning,9
Tuesday,Pediatrics,Afternoon,14
Monday,Oncology,Morning,26
Friday,Emergency,Evening,21
Friday,Neurology,Morning,12
Saturday,Neurology,Afternoon,29
Saturday,Pediatrics,Afternoon,22
Friday,Emergency,Morning,11
Sunday,Pediatrics,Evening,6
Wednesday,Oncology,Evening,10
Friday,Cardiology,Afternoon,9
Friday,Neurology,Evening,11
Tuesday,Oncology,Evening,18
Tuesday,Emergency,Night,10
Tuesday,Oncology,Evening,21
Friday,Emergency,Evening,28
Friday,Emergency,Evening,29
Sunday,Pediatrics,Night,11
Thursday,Pediatrics,Morning,19
Saturday,Oncology,Night,15
Sunday,Emergency,Night,22
Wednesday,Neurology,Night,27
Thursday,Oncology,Morning,22
Wednesday,Cardiology,Morning,23
Thursday,Emergency,Evening,18
Tuesday,Oncology,Night,11
Friday,Pediatrics,Night,10
Tuesday,Cardiology,Night,13
Thursday,Cardiology,Evening,11
Saturday,Pediatrics,Night,25
Saturday,Emergency,Afternoon,24
Sunday,Neurology,Afternoon,18
Wednesday,Cardiology,Evening,22
Sunday,Oncology,Night,29
Monday,Cardiology,Night,14
Monday,Neurology,Morning,10
Friday,Neurology,Afternoon,29
Friday,Cardiology,Evening,5
Saturday,Cardiology,Morning,15
Thursday,Cardiology,Morning,26
Wednesday,Emergency,Afternoon,13
Wednesday,Neurology,Afternoon,16
Tuesday,Pediatrics,Afternoon,10
Thursday,Oncology,Night,14
Tuesday,Neurology,Afternoon,15
Thursday,Oncology,Morning,7
Thursday,Oncology,Afternoon,29
Sunday,Pediatrics,Afternoon,16
Sunday,Pediatrics,Afternoon,7
Friday,Oncology,Evening,9
Friday,Cardiology,Morning,12
Saturday,Emergency,Evening,25
Wednesday,Oncology,Morning,7
Wednesday,Pediatrics,Afternoon,6
Friday,Cardiology,Evening,14
Monday,Pediatrics,Night,20
Wednesday,Cardiology,Afternoon,24
Tuesday,Emergency,Evening,19
Monday,Emergency,Morning,25
Sunday,Emergency,Afternoon,5
Tuesday,Neurology,Evening,19
Sunday,Neurology,Night,17
Thursday,Pediatrics,Morning,14
Thursday,Emergency,Night,12
Sunday,Neurology,Afternoon,14
Sunday,Emergency,Night,17
Saturday,Cardiology,Afternoon,24
Saturday,Pediatrics,Afternoon,29
Thursday,Oncology,Evening,11
Wednesday,Emergency,Night,18
Wednesday,Pediatrics,Night,8
Saturday,Emergency,Evening,19
Thursday,Oncology,Evening,21
Wednesday,Pediatrics,Afternoon,23
Wednesday,Emergency,Morning,23
Tuesday,Oncology,Morning,8
Friday,Pediatrics,Morning,13
Thursday,Pediatrics,Afternoon,11
Saturday,Pediatrics,Night,28
Monday,Cardiology,Night,21
Friday,Cardiology,Morning,13
Saturday,Cardiology,Afternoon,26
Friday,Emergency,Morning,17
Sunday,Neurology,Evening,24
Tuesday,Pediatrics,Night,29
Thursday,Emergency,Evening,17
Monday,Oncology,Afternoon,13
Monday,Neurology,Afternoon,26
Saturday,Cardiology,Night,6
Tuesday,Oncology,Morning,17
Sunday,Cardiology,Evening,25
Friday,Oncology,Afternoon,16
Tuesday,Emergency,Evening,14
Monday,Oncology,Night,7
Friday,Neurology,Night,8
Friday,Oncology,Morning,29
Tuesday,Emergency,Evening,12
Thursday,Pediatrics,Night,16
Wednesday,Pediatrics,Night,29
Friday,Neurology,Evening,12
Saturday,Cardiology,Afternoon,20
Friday,Pediatrics,Evening,13
Wednesday,Emergency,Morning,16
Monday,Emergency,Night,7
Wednesday,Emergency,Afternoon,6
Tuesday,Neurology,Night,11
Saturday,Emergency,Night,21
Saturday,Neurology,Afternoon,9
Friday,Oncology,Afternoon,17
Sunday,Cardiology,Night,7
Friday,Oncology,Evening,18
Sunday,Oncology,Evening,18
Saturday,Neurology,Morning,20
Thursday,Cardiology,Morning,10
Monday,Oncology,Night,15
Tuesday,Cardiology,Night,7
Saturday,Cardiology,Evening,8
Sunday,Pediatrics,Morning,10
Wednesday,Neurology,Evening,28
Sunday,Emergency,Afternoon,23
Monday,Emergency,Night,27
Saturday,Oncology,Morning,24
Monday,Cardiology,Afternoon,18
Sunday,Cardiology,Morning,7
Sunday,Cardiology,Morning,28
Sunday,Cardiology,Morning,23
Tuesday,Emergency,Afternoon,21
Saturday,Cardiology,Evening,8
Sunday,Pediatrics,Morning,19
Thursday,Oncology,Afternoon,19
Tuesday,Oncology,Night,24
Tuesday,Pediatrics,Afternoon,7
Thursday,Pediatrics,Evening,18
Monday,Pediatrics,Morning,27
Monday,Emergency,Afternoon,6
Sunday,Neurology,Night,9
Wednesday,Cardiology,Morning,24
Thursday,Cardiology,Evening,18
Saturday,Oncology,Morning,27
Monday,Neurology,Morning,19
Monday,Oncology,Evening,7
Sunday,Pediatrics,Morning,28
Thursday,Neurology,Afternoon,21
Friday,Emergency,Evening,6
Saturday,Emergency,Evening,8
Monday,Pediatrics,Afternoon,23
Thursday,Pediatrics,Afternoon,21
Friday,Cardiology,Afternoon,6
Sunday,Oncology,Evening,28
Friday,Cardiology,Morning,20
Sunday,Cardiology,Evening,10
Sunday,Emergency,Evening,10
Monday,Emergency,Night,9
Wednesday,Oncology,Evening,18
Tuesday,Pediatrics,Evening,11
Wednesday,Oncology,Morning,6
Wednesday,Oncology,Afternoon,24
Monday,Oncology,Night,24
Thursday,Cardiology,Morning,25
Thursday,Pediatrics,Evening,8
Friday,Oncology,Evening,17
Wednesday,Cardiology,Evening,24
Sunday,Pediatrics,Morning,20
Sunday,Pediatrics,Evening,18
Tuesday,Cardiology,Night,7
Friday,Emergency,Night,25
Tuesday,Oncology,Evening,24
Friday,Neurology,Night,18
Thursday,Emergency,Afternoon,24
Monday,Pediatrics,Evening,6
Saturday,Neurology,Night,24
Tuesday,Oncology,Evening,26
Monday,Cardiology,Morning,22
Friday,Pediatrics,Afternoon,8
Saturday,Pediatrics,Morning,28
Saturday,Emergency,Morning,19
Friday,Neurology,Morning,25
Saturday,Cardiology,Afternoon,28
Sunday,Emergency,Morning,7
Monday,Neurology,Morning,22
Thursday,Emergency,Afternoon,10
Tuesday,Neurology,Night,7
Sunday,Neurology,Evening,27
Monday,Oncology,Afternoon,20
Friday,Oncology,Afternoon,11
Tuesday,Pediatrics,Evening,9
Sunday,Neurology,Afternoon,26
Saturday,Neurology,Evening,16
Tuesday,Neurology,Night,16
Wednesday,Oncology,Evening,24
Tuesday,Emergency,Evening,19
Thursday,Neurology,Night,11
Monday,Emergency,Night,28
Thursday,Emergency,Night,23
Wednesday,Oncology,Afternoon,18
Thursday,Oncology,Evening,24
Tuesday,Pediatrics,Morning,28
Tuesday,Neurology,Afternoon,29
Tuesday,Emergency,Evening,12
Monday,Oncology,Morning,28
Friday,Oncology,Afternoon,10
Sunday,Emergency,Morning,7
Sunday,Neurology,Morning,8
Friday,Pediatrics,Morning,23
Wednesday,Oncology,Afternoon,23
Thursday,Cardiology,Night,28
Friday,Pediatrics,Morning,6
Monday,Pediatrics,Afternoon,26
Tuesday,Neurology,Morning,10
Wednesday,Oncology,Morning,20
Tuesday,Oncology,Afternoon,26
Monday,Oncology,Afternoon,22
Sunday,Neurology,Afternoon,8
Tuesday,Neurology,Afternoon,13
Monday,Oncology,Night,14
Thursday,Oncology,Night,29
Monday,Oncology,Morning,22
Thursday,Pediatrics,Morning,17
Thursday,Emergency,Afternoon,16
Thursday,Emergency,Evening,7
Tuesday,Neurology,Evening,21
Tuesday,Neurology,Afternoon,25
Tuesday,Emergency,Night,20
Wednesday,Oncology,Morning,16
Wednesday,Oncology,Night,5
Saturday,Pediatrics,Morning,24
Saturday,Cardiology,Night,10
Friday,Pediatrics,Morning,16
Wednesday,Pediatrics,Night,10
Tuesday,Oncology,Morning,11
Wednesday,Pediatrics,Afternoon,27
Wednesday,Neurology,Morning,8
Wednesday,Cardiology,Afternoon,15
Friday,Pediatrics,Night,26
Thursday,Neurology,Afternoon,25
Tuesday,Neurology,Morning,18
Tuesday,Neurology,Afternoon,27
Saturday,Pediatrics,Morning,27
Friday,Cardiology,Night,8
Monday,Oncology,Evening,27
Thursday,Neurology,Afternoon,20
Friday,Cardiology,Morning,23
Tuesday,Cardiology,Evening,10
Wednesday,Emergency,Morning,17
Friday,Oncology,Morning,5
Sunday,Cardiology,Afternoon,11
Monday,Oncology,Evening,17
Friday,Cardiology,Morning,20
Monday,Cardiology,Night,15
Saturday,Pediatrics,Afternoon,17
Friday,Oncology,Afternoon,16
Saturday,Pediatrics,Morning,10
Monday,Oncology,Night,18
Friday,Neurology,Night,28
Sunday,Pediatrics,Evening,22
Monday,Emergency,Evening,12
Monday,Cardiology,Morning,26
Sunday,Emergency,Night,28
Friday,Oncology,Morning,8
Tuesday,Neurology,Morning,15
Friday,Emergency,Morning,19
Tuesday,Neurology,Night,26
Monday,Emergency,Afternoon,22
Saturday,Pediatrics,Evening,16
Friday,Cardiology,Night,12
Sunday,Emergency,Night,13
Monday,Oncology,Afternoon,13
Tuesday,Pediatrics,Afternoon,28
Friday,Emergency,Evening,23
Friday,Pediatrics,Afternoon,17
Friday,Neurology,Night,11
Thursday,Neurology,Afternoon,9
Saturday,Emergency,Night,18
Tuesday,Neurology,Night,22
Monday,Oncology,Evening,17
Monday,Pediatrics,Night,7
Friday,Emergency,Evening,23
Wednesday,Emergency,Evening,12
Wednesday,Emergency,Afternoon,26
Thursday,Pediatrics,Evening,6
Monday,Pediatrics,Evening,20
Friday,Pediatrics,Night,11
Thursday,Oncology,Afternoon,20
Friday,Neurology,Night,15
Monday,Oncology,Morning,14
Wednesday,Cardiology,Afternoon,13
Saturday,Oncology,Evening,27
Tuesday,Neurology,Night,29
Tuesday,Pediatrics,Evening,18
Friday,Neurology,Morning,11
Thursday,Oncology,Afternoon,29
Sunday,Pediatrics,Night,15
Tuesday,Pediatrics,Evening,23
Thursday,Cardiology,Night,19
Sunday,Cardiology,Morning,7
Monday,Emergency,Morning,5
Friday,Pediatrics,Afternoon,22
Saturday,Oncology,Morning,26
Thursday,Emergency,Evening,16
Friday,Emergency,Morning,29
Tuesday,Neurology,Evening,20
Wednesday,Emergency,Night,13
Monday,Neurology,Afternoon,21
Tuesday,Cardiology,Night,5
Saturday,Pediatrics,Afternoon,12
Friday,Cardiology,Evening,16
Thursday,Neurology,Afternoon,6
Sunday,Pediatrics,Night,6
Sunday,Pediatrics,Afternoon,20
Sunday,Pediatrics,Afternoon,20
Friday,Emergency,Evening,26
Thursday,Cardiology,Morning,19
Friday,Cardiology,Afternoon,27
Sunday,Cardiology,Afternoon,28
Monday,Emergency,Night,17
Wednesday,Emergency,Evening,26
Saturday,Emergency,Night,9
Thursday,Pediatrics,Evening,6
Tuesday,Cardiology,Morning,24
Wednesday,Pediatrics,Morning,21
Monday,Pediatrics,Evening,28
Sunday,Neurology,Morning,23
Thursday,Neurology,Evening,23
Friday,Cardiology,Afternoon,17
Saturday,Pediatrics,Morning,29
Saturday,Neurology,Afternoon,29
Friday,Oncology,Night,21
Wednesday,Emergency,Morning,5
Friday,Oncology,Evening,20
Wednesday,Cardiology,Evening,25
Wednesday,Oncology,Afternoon,9
Tuesday,Pediatrics,Afternoon,29
Sunday,Cardiology,Afternoon,13
Tuesday,Neurology,Morning,16
Tuesday,Neurology,Evening,26
Friday,Cardiology,Evening,21
Thursday,Emergency,Night,25
Thursday,Oncology,Night,21
Tuesday,Neurology,Evening,21
Tuesday,Neurology,Evening,24
Thursday,Emergency,Evening,22
Tuesday,Oncology,Night,29
Wednesday,Oncology,Night,22
Monday,Cardiology,Afternoon,11
Sunday,Cardiology,Evening,24
Saturday,Neurology,Night,6
Wednesday,Neurology,Evening,11
Thursday,Pediatrics,Morning,27
Tuesday,Cardiology,Afternoon,26
Monday,Cardiology,Afternoon,26
Tuesday,Pediatrics,Night,18
Saturday,Emergency,Morning,28
Saturday,Emergency,Night,6
Wednesday,Pediatrics,Afternoon,25
Saturday,Oncology,Night,22
Saturday,Cardiology,Afternoon,14
Saturday,Oncology,Morning,23
Saturday,Oncology,Afternoon,22
Tuesday,Emergency,Evening,11
Saturday,Neurology,Evening,28
Wednesday,Oncology,Night,12
Monday,Neurology,Evening,25
Friday,Emergency,Night,13
Friday,Cardiology,Afternoon,17
Monday,Pediatrics,Night,28
Sunday,Neurology,Evening,10
Tuesday,Cardiology,Night,8
Saturday,Neurology,Morning,20
Sunday,Emergency,Evening,29
Friday,Cardiology,Night,15
Sunday,Cardiology,Morning,28
Wednesday,Cardiology,Morning,25
Friday,Pediatrics,Night,6
Wednesday,Oncology,Afternoon,12
Saturday,Cardiology,Evening,11
Sunday,Cardiology,Evening,26
Monday,Neurology,Evening,7
Friday,Emergency,Night,19
Monday,Pediatrics,Afternoon,17
Thursday,Oncology,Evening,12
Sunday,Cardiology,Afternoon,15
Monday,Pediatrics,Night,23
Saturday,Cardiology,Night,7
Friday,Pediatrics,Afternoon,24
Saturday,Cardiology,Morning,28
Wednesday,Oncology,Evening,5
Monday,Neurology,Morning,21
Friday,Pediatrics,Evening,12
